"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_duplicate_names_are_reported_per_namespace","Unit Tests","2026-09-22","passed","2026-09-22","Test","tech_info_test","",""
"","3","test_a_message_the_path_does_not_describe_is_refused","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DApiTest","api_test","",""
"","3","test_the_pipeline_needs_no_other_import","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DApiTest","api_test","",""
"","3","test_read_error_is_raised_once_errors_exist","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","30","test_repeated_labels_produce_unique_stable_names","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DBuilderTerminalTest","pex25d_builder_test","",""
"","0","test_valid_pdk_from_env","Unit Tests","2026-09-22","passed","2026-09-22","Test","env_test","",""
"","0","test_normed_descending","Unit Tests","2026-09-22","passed","2026-09-22","NetCoupleKeyTest","extraction_results_test","",""
"","10","test_a_scene_survives_the_protobuf_encodings","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DArtifactTest","artifact_test","",""
"","386","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","416","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","2","test_e0262_a_grid_that_does_not_divide_the_source_dbu","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","3","test_lengths_are_rendered_exactly","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DWriterTest","writer_test","",""
"","2","test_e0273_a_metal_carrying_a_via_resistance","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","1","test_auto_prefix","Unit Tests","2026-09-22","passed","2026-09-22","UnitFormatterTest","unit_formatter_test","",""
"","1","test_averaged_off_diagonals","Unit Tests","2026-09-22","passed","2026-09-22","Test","capacitance_matrix_test","",""
"","378","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","3","test_validating_never_raises","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","3","test_a_packaging_release_is_not_part_of_the_tool_version","Unit Tests","2026-09-22","passed","2026-09-22","Test","tool_version_constraints_test","",""
"","3","test_e0307_holes_that_touch","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","20","test_device_terminal_names_cannot_collide_with_pin_names","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DBuilderTerminalTest","pex25d_builder_test","",""
"","2","test_a_shape_filling_a_hole_exactly","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DGeometryTest","geometry_test","",""
"","3","test_a_via_takes_its_extent_from_connects","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","3","test_e0272_a_via_without_its_resolved_endpoints","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","2224","test_via_stack_1x1_minsize_poly_to_met5","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-09-22","failed","2026-09-22","","rcx25_R_sky130A_test","",""
"","2195","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
"","11","test_a_pin_without_interconnect_reports_a_build_error","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DBuilderTerminalTest","pex25d_builder_test","",""
"","21","test_a_bad_command_line_exits_two","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DCLITest","pex25d_cli_test","",""
"","0","test_ring_is_collinear","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DGeometryTest","geometry_test","",""
"","1","test_containment_counts","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DGeometryTest","geometry_test","",""
"","27","test_netlist_expansion","Unit Tests","2026-09-22","passed","2026-09-22","Test","netlist_expander_test","",""
"","0","test_boundary_cases","Unit Tests","2026-09-22","passed","2026-09-22","UnitFormatterTest","unit_formatter_test","",""
"","1","test_stdio_falls_back_to_the_defaults","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DArtifactTest","artifact_test","",""
"","0","test_klayout_point","Unit Tests","2026-09-22","passed","2026-09-22","ShapesConverterTest","shapes_pb2_converter_test","",""
"","2071","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
"","2","test_a_grid_that_does_divide_the_source_dbu","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","2","test_include_flattens_and_records_the_source_file","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","0","test_an_unconventional_name_has_to_be_stated","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DArtifactTest","artifact_test","",""
"","5","test_source_refs_are_off_unless_asked_for","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","2","test_e0302_a_ring_closed_explicitly","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","2","test_non_manhattan_clipping_is_not_silently_rounded","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","368","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","6","test_round_trip_is_byte_identical","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DWriterTest","writer_test","",""
"","1","test_format_exact_refuses_what_it_cannot_render","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DWriterTest","writer_test","",""
"","370","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","2119","test_single_wire_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-09-22","passed","2026-09-22","","rcx25_R_sky130A_test","",""
"","3","test_a_resolved_scene_is_clean","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","3","test_domain_box_is_copied_verbatim","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","3","test_e0270_a_layer_with_no_kind","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","4","test_a_box_in_the_notch_of_an_l_shape","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","5","test_a_conductor_may_sit_inside_another_ones_hole","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","487","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","3","test_w0264_a_conductor_with_no_geometry","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","3","test_a_via_may_land_on_the_ground_plane","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","3","test_e0230_cyclic_wraps","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","3","test_resistance_is_carried_onto_the_layer","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","3","test_no_domain_record_leaves_the_domain_unspecified","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","2","test_e0260_a_simple_dielectric_wrapping_an_inner_link","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","3","test_e0263_a_terminal_on_a_floating_conductor","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","0","test_klayout_point_to_pb","Unit Tests","2026-09-22","passed","2026-09-22","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_forced_prefix","Unit Tests","2026-09-22","passed","2026-09-22","UnitFormatterTest","unit_formatter_test","",""
"","9","test_fastcap_parse_capacitance_matrix","Unit Tests","2026-09-22","passed","2026-09-22","Test","fastcap_runner_test","",""
"","2","test_e0108_duplicate_meta_key","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","387","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","2","test_e0107_unsupported_major_version","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","2","test_every_declared_constraint_is_well_formed","Unit Tests","2026-09-22","passed","2026-09-22","Test","tool_version_constraints_test","",""
"","1","test_an_explicit_choice_beats_the_name","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DArtifactTest","artifact_test","",""
"","11","test_an_unconventional_output_name_exits_two","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DCLITest","pex25d_cli_test","",""
"","2","test_an_anchor_metal_without_shapes_is_legal","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
